MAUI errors

Severity	Code	Description	Project	File	Line	Suppression State
Error		attribute show_timeout (aka com.companyname.zoomsdksampleapp:show_timeout) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_video_player.xml	2	
Error		attribute shutter_background_color (aka com.companyname.zoomsdksampleapp:shutter_background_color) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\fragment_sip_video_player.xml	2	
Error		resource id/exo_duration (aka com.companyname.zoomsdksampleapp:id/exo_duration) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_ffwd (aka com.companyname.zoomsdksampleapp:id/exo_ffwd) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_pause (aka com.companyname.zoomsdksampleapp:id/exo_pause) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_play (aka com.companyname.zoomsdksampleapp:id/exo_play) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_position (aka com.companyname.zoomsdksampleapp:id/exo_position) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_progress_placeholder (aka com.companyname.zoomsdksampleapp:id/exo_progress_placeholder) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource id/exo_rew (aka com.companyname.zoomsdksampleapp:id/exo_rew) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource style/ExoMediaButton.Pause (aka com.companyname.zoomsdksampleapp:style/ExoMediaButton.Pause) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource style/ExoMediaButton.Play (aka com.companyname.zoomsdksampleapp:style/ExoMediaButton.Play) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
Error		resource style/ExoMediaButton.Rewind (aka com.companyname.zoomsdksampleapp:style/ExoMediaButton.Rewind) not found.	ZoomSDKSampleApp.Android	C:\projects\VisualService\dotnet-zoom-meeting-sdk\src\XF\SampleApp\SampleApp.Android\obj\Debug\120\lp\5\jl\res\layout\media_player_playback_control.xml	15	
